x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
458,0,0,3,1,0,1,0.747526495133714,0.561787652794623,0.38524815501043,69.5649259473529
433,0,0,3,0,0,0,0.753204855499984,0.576169813918425,0.305558253920731,66.5917830745177
483,0,0,3,2,0,2,0.75386473652097,0.543275047958082,0.540742209838048,72.4858925443189
457,0,0,3,1,0,0,0.756668386002895,0.576374479231061,0.307628305834773,68.5878987078378
529,0,0,3,4,0,0,0.756707119356987,0.534011400956211,0.584089901998788,72.5264439788858
434,0,0,3,0,0,1,0.756933785240472,0.576371291629207,0.307783309266905,68.5876351832824
505,0,0,3,3,0,0,0.787703126160745,0.527740054466538,0.415321573246937,71.2231507320659
626,0,0,4,2,0,1,0.790102087981801,0.565328295650574,0.944176295257963,71.927186896166
604,0,0,4,1,0,3,0.791396664430919,0.563438356240916,0.958812560213962,73.7692481095889
605,0,0,4,1,0,4,0.791737335506301,0.563265757644033,0.958953349853285,75.7691711746874
603,0,0,4,1,0,2,0.795114050680912,0.566113850404521,0.937541665112668,71.9839008128195
436,0,0,3,0,0,3,0.795298569947601,0.529681117680539,0.444518783765399,71.058558237035
627,0,0,4,2,0,2,0.796321547704203,0.574057105608784,0.919373264846087,74.3396856173245
602,0,0,4,1,0,1,0.797532183065137,0.573810771963733,0.919554348239942,70.3403749327416
673,0,0,4,4,0,0,0.802685419339801,0.545687076216252,0.957892738466627,73.8537460661942
481,0,0,3,2,0,0,0.817582349751985,0.56721503650366,0.310776464677705,70.4998434816229
435,0,0,3,0,0,2,0.823617401775074,0.564163895295879,0.3105351358344,70.4785459907462
577,0,0,4,0,0,0,0.862537822249925,0.588086193230637,0.877721329501288,67.0742784458355
601,0,0,4,1,0,0,0.864247644623505,0.588013018186297,0.877853117144919,69.0736305045008
578,0,0,4,0,0,1,0.864340949070168,0.588004465037611,0.877833521334897,69.0735871032837
625,0,0,4,2,0,0,0.882091778365417,0.578478812936252,0.875478970825416,70.9970106991019
579,0,0,4,0,0,2,0.885726765929067,0.57588290761272,0.876378435856396,70.9770416084419
1352,0,1,3,2,1,1,1.00036681623982e-05,0.067223578159212,0.776041893498397,66.17285466486
1466,0,1,4,1,0,1,1.00348907311621e-05,0.138955007803728,0.75196967723782,50.3374462488968
1486,0,1,4,1,3,3,1.00434088253087e-06,0.309349602150495,0.67892248062886,135.471456377343
1487,0,1,4,1,3,3,1.00434088253087e-06,0.309349602150495,0.67892248062886,135.471456377343
1489,0,1,4,2,0,0,1.00776836417782e-05,0.139023519103975,0.75241867487493,50.3373589799218
1331,0,1,3,1,1,4,1.00831047605165e-05,0.0722591830843736,0.786500860069061,70.0298317713406
1526,0,1,4,3,2,1,1.01355320911468e-06,0.01,0.595567808348121,127.324546916195
1046,0,1,1,1,2,1,1.01462277752496e-06,0.0977143693431208,0.868246434531695,107.860595622941
1378,0,1,3,3,1,3,1.01481223583519e-05,0.070504615460078,0.786890392683524,71.9700050202978
1076,0,1,1,2,3,1,1.0179309521631e-08,0.146994380956841,0.859837328003863,134.925821466476
1376,0,1,3,3,1,1,1.01831670565257e-05,0.0694380422442304,0.778595228407188,68.1602124398095
75,0,0,0,3,0,2,1.02139395236686e-05,0.480555757865305,1.19459997449667e-12,184.804536946693
1176,0,1,2,0,3,5,1.02414320001785e-09,0.104791669987423,0.628002439275601,137.666236025164
1,0,0,0,0,0,0,1.03321271425995e-05,0.634364080698937,5.55111512312578e-16,202.506038867919
1377,0,1,3,3,1,2,1.04166887873632e-05,0.074273457874786,0.788434937304992,70.0263942149731
1506,0,1,4,2,2,5,1.05119794187779e-12,0.29091217338082,0.167844475012189,98.3241307451574
910,0,1,0,1,3,3,1.05646552849793e-08,0.258315678330854,0.133393236547647,134.612776722703
1462,0,1,4,0,3,3,1.05813945291413e-07,0.264251202341848,0.748492086472971,133.109767807988
1305,0,1,3,0,1,2,1.06365666211829e-05,0.0667043065179525,0.774624654637815,64.1994659797642
5,0,0,0,0,0,4,1.07060932626233e-06,0.592220830463962,2.66453525910038e-15,196.109070129649
1530,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1531,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1532,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1533,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1534,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1535,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
1536,0,1,4,3,2,5,1.07122980617563e-11,0.427338098495748,0.198080277018618,207.716041272988
301,0,0,2,0,2,0,1.07600121182233e-05,0.595292916956083,9.20160077466647e-07,145.302014775575
1308,0,1,3,0,1,5,1.07766452735357e-05,0.0715021970534074,0.785305981769395,69.8908058488815
20,0,0,0,0,3,1,1.09036144214226e-07,0.58450197981466,4.21884749357559e-15,193.244213389859
452,0,0,3,0,3,1,1.10172604147022e-06,0.663876306539836,0.102870198187772,128.673026131335
624,0,0,4,1,3,5,1.11390404015539e-06,0.645936154757974,0.617101990735537,133.498018675093
1367,0,1,3,2,3,4,1.12026044098232e-07,0.119558387593562,0.998470785040788,137.909950955373
911,0,1,0,1,3,4,1.12186972054877e-08,0.258284400221335,0.102040891656428,137.263769310365
739,0,0,5,0,3,0,1.12620473569526e-07,0.654096934473111,0.116798708865215,138.380183953399
1094,0,1,1,3,2,1,1.12641734314603e-06,0.0752641968216918,0.888148200477098,106.266027482732
888,0,1,0,0,3,5,1.13012826460776e-08,0.254476646056601,0.179194034378043,136.000058981307
51,0,0,0,2,0,2,1.13256097721877e-05,0.504455460256655,1.87072579649339e-13,186.090791150767
1379,0,1,3,3,1,4,1.14358687600374e-05,0.0695063113583697,0.797711984426428,73.7627062592999
1098,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1099,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1100,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1101,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1102,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1103,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1104,0,1,1,3,2,5,1.14373608278325e-14,0.678409020774206,0.777974976568422,71.3527188798413
1443,0,1,4,0,0,2,1.14573317833436e-05,0.136685908376479,0.756112902439196,50.3009801755202
1328,0,1,3,1,1,1,1.14661154634393e-05,0.0688853182206766,0.774194818673273,64.2642053994089
648,0,0,4,2,3,5,1.14842450256558e-06,0.638247597585496,0.647817632143365,135.342667573418
1093,0,1,1,3,2,0,1.15339866443097e-06,0.07786376546733,0.928752223333932,104.222309937484
790,0,0,5,2,3,3,1.16720640387571e-07,0.537460249277749,0.730862457024544,128.843794401258
1092,0,1,1,3,1,5,1.17019409003074e-05,0.0474072851696592,0.848016798063047,76.4951278227194
53,0,0,0,2,0,4,1.1704257558841e-05,0.431786553280389,1.48070444794257e-12,185.910197405724
1212,0,1,2,2,1,5,1.18414366076287e-05,0.0458924000833534,0.96200360682926,76.5059828290933
1213,0,1,2,2,1,5,1.18414366076287e-05,0.0458924000833534,0.96200360682926,76.5059828290933
1068,0,1,1,2,1,5,1.19258443947886e-05,0.0480292033823527,0.848349511310719,74.5112575249913
1069,0,1,1,2,1,5,1.19258443947886e-05,0.0480292033823527,0.848349511310719,74.5112575249913
763,0,0,5,1,3,0,1.19268936716806e-06,0.53083121446624,0.508578755283324,127.503269339283
1198,0,1,2,1,3,3,1.19434989864107e-08,0.0684260440642701,0.396989088283861,134.948160091894
76,0,0,0,3,0,3,1.20280303878119e-05,0.465896630690506,1.44262379819793e-12,186.171065899054
1332,0,1,3,1,1,5,1.20548877739097e-05,0.0714517115538211,0.797603322174279,71.64620057392
52,0,0,0,2,0,3,1.21961916561188e-05,0.471850766423517,1.40132350168187e-12,184.199409232673
1168,0,1,2,0,2,3,1.22986345031477e-05,0.0508580445983642,0.182009506202795,102.951379787531
937,0,1,0,3,0,0,1.2348652220221e-06,0.0749437287375876,0.205515237413644,50.613627879022
1366,0,1,3,2,3,3,1.23900324158666e-07,0.111908758975151,0.958511766874939,135.320207061184
1341,0,1,3,1,3,2,1.24987315368337e-07,0.114463937890775,0.853742888313392,132.231005527054
791,0,0,5,2,3,4,1.27701507813128e-07,0.536192966074211,0.747417893181789,130.928483815027
1173,0,1,2,0,3,2,1.28312365085307e-09,0.0975299819727866,0.344681972883125,133.206963490971
1510,0,1,4,2,3,3,1.291506386687e-09,0.0780205969733714,0.795021031310269,161.142842055178
1055,0,1,1,1,3,4,1.31392361904824e-08,0.152646938196993,0.694717420916739,138.740737917562
1631,0,1,5,1,3,4,1.32660376710239e-07,0.215993613333168,0.311567678611003,140.515218666562
1095,0,1,1,3,2,2,1.33185853648439e-06,0.0741735526398491,0.834125351444872,108.285179047837
